1.GeneID,transcript_name,gene_ids,genes_names
ENSMUST00000114713.1,Nsun6-203,ENSMUSG00000026707,Nsun6
ENSMUST00000156682.1,Zmiz1os1-201,ENSMUSG00000087535,Zmiz1os1
ENSMUST00000048208.9,Ccdc122-201,ENSMUSG00000034795,Ccdc122
ENSMUST00000022746.12,Osmr-201,ENSMUSG00000022146,Osmr
ENSMUST00000002152.12,Bbc3-201,ENSMUSG00000002083,Bbc3
ENSMUST00000035842.6,Rassf4-201,ENSMUSG00000042129,Rassf4
ENSMUST00000099145.5,Dlgap4-203,ENSMUSG00000061689,Dlgap4
ENSMUST00000045096.5,Ppp1r3a-201,ENSMUSG00000042717,Ppp1r3a
ENSMUST00000086687.9,Plcxd1-201,ENSMUSG00000064247,Plcxd1
ENSMUST00000233130.1,Gm36201-201,ENSMUSG00000117029,
ENSMUST00000223774.1,Gm47414-201,ENSMUSG00000114424,Gm47414
ENSMUST00000191042.1,Gm7967-202,ENSMUSG00000100009,Gm7967
ENSMUST00000186147.6,2310069B03Rik-202,ENSMUSG00000100291,2310069B03Rik
ENSMUST00000123127.2,Mexis-203,ENSMUSG00000086712,AI427809
ENSMUST00000213591.1,Gm47113-201,ENSMUSG00000111465,Gm47113
ENSMUST00000030937.1,Mmp23-201,ENSMUSG00000029061,Mmp23
ENSMUST00000146121.2,Gm11292-201,ENSMUSG00000043145,Gm11292
ENSMUST00000133273.2,Gm17025-201,ENSMUSG00000091492,Gm17025
ENSMUST00000196621.4,A730020M07Rik-202,ENSMUSG00000044522,A730020M07Rik
ENSMUST00000038032.4,5033430I15Rik-201,ENSMUSG00000038152,5033430I15Rik
ENSMUST00000232175.1,Gm49767-201,ENSMUSG00000116617,
ENSMUST00000065927.5,Tnfaip6-201,ENSMUSG00000053475,Tnfaip6
ENSMUST00000184587.4,Chaserr-203,ENSMUSG00000101970,1810026B05Rik
ENSMUST00000006692.5,Mvd-201,ENSMUSG00000006517,Mvd
ENSMUST00000164344.1,Gm17617-201,ENSMUSG00000091768,Gm17617
ENSMUST00000035323.5,Spib-201,ENSMUSG00000008193,Spib
ENSMUST00000144177.7,Adhfe1-203,ENSMUSG00000025911,Adhfe1
ENSMUST00000060427.5,Ier2-201,ENSMUSG00000053560,Ier2
ENSMUST00000139835.1,Gm11266-201,ENSMUSG00000087413,Gm11266
ENSMUST00000142511.1,Gm13421-202,ENSMUSG00000085929,Gm13421
ENSMUST00000231106.1,Gm49463-201,ENSMUSG00000116508,AL591952.3
ENSMUST00000201786.3,Gm34653-201,ENSMUSG00000107167,Gm34653
ENSMUST00000156249.1,Ubc-203,ENSMUSG00000008348,Ubc
ENSMUST00000017153.3,Sdc4-201,ENSMUSG00000017009,Sdc4
ENSMUST00000165764.7,Cyp27b1-201,ENSMUSG00000006724,Cyp27b1
ENSMUST00000054591.9,Thnsl1-201,ENSMUSG00000048550,Thnsl1
ENSMUST00000113886.2,Gm11131-201,ENSMUSG00000079505,Gm11131
ENSMUST00000048482.7,2010003K11Rik-201,ENSMUSG00000042041,2010003K11Rik
ENSMUST00000067543.7,Trib1-201,ENSMUSG00000032501,Trib1
ENSMUST00000222464.1,Sfrp4-203,ENSMUSG00000021319,Sfrp4
ENSMUST00000060043.12,Wnk1-202,ENSMUSG00000045962,Wnk1
ENSMUST00000017839.2,Rnf135-201,ENSMUSG00000020707,Rnf135
ENSMUST00000180740.1,Gm26608-201,ENSMUSG00000097673,Gm26608
ENSMUST00000046522.12,Btnl9-201,ENSMUSG00000040283,Btnl9
ENSMUST00000114895.3,Cfap53-201,ENSMUSG00000035394,Cfap53
ENSMUST00000030949.3,Tas1r3-201,ENSMUSG00000029072,Tas1r3
ENSMUST00000235942.1,4833438C02Rik-201,ENSMUSG00000118087,
ENSMUST00000151122.1,A530072M11Rik-201,ENSMUSG00000085112,A530072M11Rik
ENSMUST00000109221.8,B4galt5-201,ENSMUSG00000017929,B4galt5
ENSMUST00000237857.1,Gm30641-201,ENSMUSG00000118317,
ENSMUST00000017288.8,Rnd3-201,ENSMUSG00000017144,Rnd3
ENSMUST00000160009.1,Myc-204,ENSMUSG00000022346,Myc
ENSMUST00000201742.1,Gm43860-201,ENSMUSG00000106928,Gm43860
ENSMUST00000029833.12,Lrriq3-201,ENSMUSG00000028182,Lrriq3
ENSMUST00000207382.1,Gm44698-201,ENSMUSG00000109366,Gm44698
ENSMUST00000155691.1,4933421O10Rik-201,ENSMUSG00000085037,4933421O10Rik
ENSMUST00000139006.1,4930412F09Rik-201,ENSMUSG00000085321,4930412F09Rik
ENSMUST00000221461.1,Gm46404-201,ENSMUSG00000113440,Gm46404
ENSMUST00000020262.4,Pbld2-201,ENSMUSG00000020072,Pbld2
ENSMUST00000223391.1,Gm47863-201,ENSMUSG00000113165,Gm47863
ENSMUST00000042646.7,Atoh8-201,ENSMUSG00000037621,Atoh8
ENSMUST00000103204.10,Per3-201,ENSMUSG00000028957,Per3
ENSMUST00000022895.14,Grhl2-201,ENSMUSG00000022286,Grhl2
ENSMUST00000180408.1,E230013L22Rik-201,ENSMUSG00000096957,E230013L22Rik
ENSMUST00000224459.1,Gm48767-201,ENSMUSG00000114387,Gm48767
ENSMUST00000033900.6,Rab20-201,ENSMUSG00000031504,Rab20
ENSMUST00000110832.7,Tmem184a-202,ENSMUSG00000036687,Tmem184a
ENSMUST00000200671.1,0,0,0
ENSMUST00000127441.1,Gm14321-201,ENSMUSG00000084797,Gm14321
ENSMUST00000045153.10,Pik3ip1-201,ENSMUSG00000034614,Pik3ip1
ENSMUST00000124850.1,9230111E07Rik-201,ENSMUSG00000087624,9230111E07Rik
ENSMUST00000137906.1,Arid5a-208,ENSMUSG00000037447,Arid5a
ENSMUST00000080249.5,Zfp947-201,ENSMUSG00000063383,Zfp947
ENSMUST00000198269.1,Gm43109-201,ENSMUSG00000104653,Gm43109
ENSMUST00000090608.5,Harbi1-201,ENSMUSG00000027243,Harbi1
ENSMUST00000102824.3,Ifit1-201,ENSMUSG00000034459,Ifit1
ENSMUST00000055738.11,Tsc22d3-201,ENSMUSG00000031431,Tsc22d3
ENSMUST00000064656.7,Zfp365-201,ENSMUSG00000037855,Zfp365
ENSMUST00000055946.7,Gpr158-201,ENSMUSG00000045967,Gpr158
ENSMUST00000146887.1,Gm15731-201,ENSMUSG00000086528,Gm15731
ENSMUST00000196287.1,Gm42979-201,ENSMUSG00000104814,Gm42979
ENSMUST00000211240.1,Zfp773-202,ENSMUSG00000063535,Zfp773
ENSMUST00000160211.1,Gstt4-202,ENSMUSG00000009093,Gstt4
ENSMUST00000194677.5,Lamb3-209,ENSMUSG00000026639,Lamb3
ENSMUST00000110293.8,Serpinb6b-202,ENSMUSG00000042842,Serpinb6b
ENSMUST00000159985.1,Hephl1-201,ENSMUSG00000031936,Hephl1
ENSMUST00000123544.1,Map2k3os-201,ENSMUSG00000042549,Map2k3os
ENSMUST00000184987.1,0,0,0
ENSMUST00000097442.8,Ptpn14-202,ENSMUSG00000026604,Ptpn14
ENSMUST00000184515.1,Pmvk-203,ENSMUSG00000027952,Pmvk
ENSMUST00000149604.4,Syna-201,ENSMUSG00000085957,Syna
ENSMUST00000235508.1,Oga-203,ENSMUSG00000025220,Mgea5
ENSMUST00000124198.1,Gm15408-201,ENSMUSG00000086610,Gm15408
ENSMUST00000056623.12,Tmem72-201,ENSMUSG00000048108,Tmem72
ENSMUST00000107094.1,Jun-201,ENSMUSG00000052684,Jun
ENSMUST00000218532.1,Arid5b-203,ENSMUSG00000019947,Arid5b
ENSMUST00000229619.1,Masp1-203,ENSMUSG00000022887,Masp1
ENSMUST00000223620.1,Gm26660-202,ENSMUSG00000097601,Gm26660
ENSMUST00000102625.10,Sars-202,ENSMUSG00000068739,Sars
ENSMUST00000118006.2,Cxcl10-202,ENSMUSG00000034855,Cxcl10
ENSMUST00000053959.6,Ints6-201,ENSMUSG00000035161,Ints6
ENSMUST00000141133.1,Gm13496-201,ENSMUSG00000085755,Gm13496
ENSMUST00000236670.1,Gm50288-201,ENSMUSG00000118153,
ENSMUST00000062357.5,Bnip5-201,ENSMUSG00000048905,4930539E08Rik
ENSMUST00000192164.1,Gm31728-201,ENSMUSG00000102923,Gm31728
ENSMUST00000210913.1,Saa3-202,ENSMUSG00000040026,Saa3
ENSMUST00000204588.1,Gm45769-201,ENSMUSG00000107838,Gm45769
ENSMUST00000181277.2,Gm17249-201,ENSMUSG00000097309,Gm17249
ENSMUST00000168038.7,Tmem144-202,ENSMUSG00000027956,Tmem144
ENSMUST00000076859.11,Plk3-201,ENSMUSG00000028680,Plk3
ENSMUST00000066475.10,Cers3-201,ENSMUSG00000030510,Cers3
ENSMUST00000064371.13,Magi3-201,ENSMUSG00000052539,Magi3
ENSMUST00000038896.7,Lcat-201,ENSMUSG00000035237,Lcat
ENSMUST00000029805.12,Mttp-201,ENSMUSG00000028158,Mttp
ENSMUST00000171098.1,Gm17089-201,ENSMUSG00000092134,Gm17089
ENSMUST00000146501.7,Lexis1-202,ENSMUSG00000087192,4930412L05Rik
ENSMUST00000024839.5,Sik1-201,ENSMUSG00000024042,Sik1
ENSMUST00000084589.10,Cln3-202,ENSMUSG00000030720,Cln3
ENSMUST00000053263.8,Tmem82-201,ENSMUSG00000043085,Tmem82
ENSMUST00000226780.1,Gm49173-201,ENSMUSG00000115522,AC107757.1
ENSMUST00000103230.4,Nppa-201,ENSMUSG00000041616,Nppa
ENSMUST00000122222.7,Casz1-202,ENSMUSG00000028977,Casz1
ENSMUST00000151136.1,Gm10501-201,ENSMUSG00000073415,Gm10501
ENSMUST00000047935.7,Tspyl4-201,ENSMUSG00000039485,Tspyl4
ENSMUST00000120243.7,Csf1-203,ENSMUSG00000014599,Csf1
ENSMUST00000036113.3,Tbc1d16-201,ENSMUSG00000039976,Tbc1d16
ENSMUST00000170048.1,A930033H14Rik-201,ENSMUSG00000090622,A930033H14Rik
ENSMUST00000143649.1,1200007C13Rik-201,ENSMUSG00000087684,1200007C13Rik
ENSMUST00000132485.1,Gm16206-201,ENSMUSG00000085174,Gm16206
ENSMUST00000027165.2,Cd28-201,ENSMUSG00000026012,Cd28
ENSMUST00000094569.10,Nfasc-202,ENSMUSG00000026442,Nfasc
ENSMUST00000095759.4,Egr4-201,ENSMUSG00000071341,Egr4
ENSMUST00000094801.4,Ttc17-202,ENSMUSG00000027194,Ttc17
ENSMUST00000237050.1,Gm50336-201,ENSMUSG00000117829,
ENSMUST00000134427.1,Gm11613-201,ENSMUSG00000085586,Gm11613
ENSMUST00000127337.1,Gm11681-201,ENSMUSG00000075437,Gm11681
ENSMUST00000019422.5,Dpep1-201,ENSMUSG00000019278,Dpep1
ENSMUST00000154192.1,Gm13054-201,ENSMUSG00000086806,Gm13054
ENSMUST00000220290.1,Epb41l2-219,ENSMUSG00000019978,Epb41l2
ENSMUST00000234307.1,Gm36199-211,ENSMUSG00000117427,
ENSMUST00000039522.7,Apobr-201,ENSMUSG00000042759,Apobr
ENSMUST00000180530.2,A330094K24Rik-201,ENSMUSG00000097666,A330094K24Rik
ENSMUST00000100778.4,Gm6288-201,ENSMUSG00000072660,Gm6288
ENSMUST00000028311.12,Traf2-201,ENSMUSG00000026942,Traf2
ENSMUST00000069912.5,Rgs9bp-201,ENSMUSG00000056043,Rgs9bp
ENSMUST00000113307.8,Slc25a25-203,ENSMUSG00000026819,Slc25a25
ENSMUST00000171473.2,H4c14-201,ENSMUSG00000091405,Hist2h4
ENSMUST00000180604.1,4930556M19Rik-201,ENSMUSG00000096971,4930556M19Rik
ENSMUST00000180877.1,A530083I20Rik-202,ENSMUSG00000097322,A530083I20Rik
ENSMUST00000224393.1,Gm48837-201,ENSMUSG00000114536,Gm48837
ENSMUST00000056522.4,Pcdhb2-201,ENSMUSG00000051599,Pcdhb2
ENSMUST00000034478.2,St14-201,ENSMUSG00000031995,St14
ENSMUST00000137643.1,C130036L24Rik-202,ENSMUSG00000073627,C130036L24Rik
ENSMUST00000042105.10,Ppp1r15a-201,ENSMUSG00000040435,Ppp1r15a
ENSMUST00000203688.2,Magi1-206,ENSMUSG00000045095,Magi1
ENSMUST00000197377.1,4930580E04Rik-201,ENSMUSG00000106269,4930580E04Rik
ENSMUST00000102976.3,Gata3-201,ENSMUSG00000015619,Gata3
ENSMUST00000128181.1,Gm16175-201,ENSMUSG00000087206,Gm16175
ENSMUST00000105106.1,H2bc7-201,ENSMUSG00000069268,Hist1h2bf
ENSMUST00000050073.12,Dnajb4-202,ENSMUSG00000028035,Dnajb4
ENSMUST00000062145.1,4933430I17Rik-201,ENSMUSG00000058046,4933430I17Rik
ENSMUST00000212800.1,C78859-201,ENSMUSG00000110710,C78859
ENSMUST00000196744.1,Gm43314-201,ENSMUSG00000104528,Gm43314
ENSMUST00000150154.1,Bloc1s6os-201,ENSMUSG00000085633,Bloc1s6os
ENSMUST00000210822.1,Gm21123-201,ENSMUSG00000109700,Gm21123
ENSMUST00000003635.6,Ier3-201,ENSMUSG00000003541,Ier3
ENSMUST00000162054.8,Zfat-204,ENSMUSG00000022335,Zfat
ENSMUST00000023171.7,Hes1-201,ENSMUSG00000022528,Hes1
ENSMUST00000224208.1,Adamts6-203,ENSMUSG00000046169,Adamts6
ENSMUST00000142118.2,Adamts2-204,ENSMUSG00000036545,Adamts2
ENSMUST00000219137.1,Gm30262-201,ENSMUSG00000112249,Gm30262
ENSMUST00000161132.8,Cep295-208,ENSMUSG00000046111,Cep295
ENSMUST00000228650.1,G930009F23Rik-201,ENSMUSG00000115009,AC122397.1
ENSMUST00000195772.1,Gm10463-202,ENSMUSG00000102759,Gm10463
ENSMUST00000065496.11,Arhgap20-201,ENSMUSG00000053199,Arhgap20
ENSMUST00000021011.2,Ccl7-201,ENSMUSG00000035373,Ccl7
ENSMUST00000091749.3,H2bc23-201,ENSMUSG00000069307,Hist1h2bq
ENSMUST00000199119.1,B230303O12Rik-201,ENSMUSG00000106547,B230303O12Rik
ENSMUST00000140726.1,AI507597-201,ENSMUSG00000073731,AI507597
ENSMUST00000181147.1,1110020A21Rik-201,ENSMUSG00000097047,1110020A21Rik
ENSMUST00000221571.1,AA414992-201,ENSMUSG00000113342,AA414992
ENSMUST00000071101.7,Gm10010-201,ENSMUSG00000056771,Gm10010
ENSMUST00000149137.2,Gm13270-201,ENSMUSG00000086358,Gm13270
ENSMUST00000027062.6,Msc-201,ENSMUSG00000025930,Msc
ENSMUST00000181873.7,5430416N02Rik-202,ENSMUSG00000097772,5430416N02Rik
ENSMUST00000189457.1,H3c11-201,ENSMUSG00000101972,Hist1h3i
ENSMUST00000107542.1,Bglap3-202,ENSMUSG00000074489,Bglap3
ENSMUST00000072217.8,Ggt5-201,ENSMUSG00000006344,Ggt5
ENSMUST00000052366.4,Pcdhb1-201,ENSMUSG00000051663,Pcdhb1
ENSMUST00000197390.1,Gm42509-201,ENSMUSG00000105042,Gm42509
ENSMUST00000163691.2,Maff-202,ENSMUSG00000042622,Maff
ENSMUST00000044060.13,Cd209c-201,ENSMUSG00000040165,Cd209c
ENSMUST00000067918.11,Ppm1h-201,ENSMUSG00000034613,Ppm1h
ENSMUST00000176275.1,Gm20627-202,ENSMUSG00000093507,Gm20627
ENSMUST00000048052.6,Calhm4-201,ENSMUSG00000039508,Fam26d
ENSMUST00000146010.2,Epb41l4aos-201,ENSMUSG00000087590,Epb41l4aos
ENSMUST00000100765.10,Resf1-202,ENSMUSG00000032712,2810474O19Rik
ENSMUST00000135186.1,Gm14027-201,ENSMUSG00000090248,Gm14027
ENSMUST00000184666.7,Unc13c-202,ENSMUSG00000062151,Unc13c
ENSMUST00000229317.1,7530414M10Rik-201,ENSMUSG00000116338,AL591952.1
ENSMUST00000094337.1,Fcrlb-201,ENSMUSG00000070524,Fcrlb
ENSMUST00000211053.1,Gm45546-201,ENSMUSG00000110030,Gm45546
ENSMUST00000126664.7,Atp10d-202,ENSMUSG00000046808,Atp10d
ENSMUST00000180923.1,1700007L15Rik-201,ENSMUSG00000097318,1700007L15Rik
ENSMUST00000238807.1,Clstn3-208,ENSMUSG00000008153,Clstn3
ENSMUST00000035724.4,Akna-201,ENSMUSG00000039158,Akna
ENSMUST00000181501.2,9330104G04Rik-201,ENSMUSG00000097842,9330104G04Rik
ENSMUST00000057653.7,Car5a-201,ENSMUSG00000025317,Car5a
ENSMUST00000046351.6,Lrfn3-201,ENSMUSG00000036957,Lrfn3
ENSMUST00000105431.7,Zwint-202,ENSMUSG00000019923,Zwint
ENSMUST00000112707.2,Lrrc8b-201,ENSMUSG00000070639,Lrrc8b
ENSMUST00000152524.1,Stamos-201,ENSMUSG00000086657,Stamos
ENSMUST00000007248.4,Hspa1l-201,ENSMUSG00000007033,Hspa1l
ENSMUST00000088373.10,Srgap3-202,ENSMUSG00000030257,Srgap3
ENSMUST00000210435.3,Olfr374-202,ENSMUSG00000046881,Olfr374
ENSMUST00000226613.1,Gprin2-203,ENSMUSG00000071531,Gprin2
ENSMUST00000046751.12,Zmym6-201,ENSMUSG00000042408,Zmym6
ENSMUST00000006956.8,Saa3-201,ENSMUSG00000040026,Saa3
ENSMUST00000080885.11,Dbp-201,ENSMUSG00000059824,Dbp
ENSMUST00000159260.1,D730045A05Rik-201,ENSMUSG00000090263,D730045A05Rik
ENSMUST00000228985.1,Nr4a1-202,ENSMUSG00000023034,Nr4a1
ENSMUST00000207965.1,Gm44658-201,ENSMUSG00000109424,Gm44658
ENSMUST00000048096.11,Tlr4-201,ENSMUSG00000039005,Tlr4
ENSMUST00000171362.1,Tstd1-201,ENSMUSG00000103711,Tstd1
ENSMUST00000144006.1,Gm15328-201,ENSMUSG00000086095,Gm15328
ENSMUST00000185085.1,0,0,0
ENSMUST00000015628.3,Fam163a-201,ENSMUSG00000015484,Fam163a
ENSMUST00000232841.1,Ptp4a1-203,ENSMUSG00000026064,Ptp4a1
ENSMUST00000217972.1,Sbno2-204,ENSMUSG00000035673,Sbno2
ENSMUST00000041737.7,Wasl-202,ENSMUSG00000029684,Wasl
ENSMUST00000218557.1,Gm31793-201,ENSMUSG00000112742,Gm31793
ENSMUST00000188328.1,5031425E22Rik-203,ENSMUSG00000073147,5031425E22Rik
ENSMUST00000200008.1,5330426L24Rik-201,ENSMUSG00000105501,5330426L24Rik
ENSMUST00000200694.3,Gm43809-201,ENSMUSG00000105617,Gm43809
ENSMUST00000097531.2,Gm5532-201,ENSMUSG00000073535,Gm5532
ENSMUST00000140833.1,Gm15728-201,ENSMUSG00000086075,Gm15728
ENSMUST00000192347.1,5930409G06Rik-201,ENSMUSG00000103477,5930409G06Rik
ENSMUST00000233640.1,Gm41556-206,ENSMUSG00000117007,
ENSMUST00000221143.1,B930059L03Rik-201,ENSMUSG00000113361,AC152827.1
ENSMUST00000065533.2,Zfp672-203,ENSMUSG00000049755,Zfp672
ENSMUST00000021674.6,Fos-201,ENSMUSG00000021250,Fos
ENSMUST00000191994.1,Gm37161-201,ENSMUSG00000104519,Gm37161
ENSMUST00000223092.1,Gm48236-201,ENSMUSG00000113741,Gm48236
ENSMUST00000181776.1,Gm26812-202,ENSMUSG00000097812,Gm26812
ENSMUST00000134059.1,Gm13073-201,ENSMUSG00000084807,Gm13073
ENSMUST00000002926.7,Pla1a-201,ENSMUSG00000002847,Pla1a
ENSMUST00000228796.1,9330188P03Rik-207,ENSMUSG00000115149,AC112142.1
ENSMUST00000171719.7,Ccr2-204,ENSMUSG00000049103,Ccr2
ENSMUST00000033930.4,Dusp4-201,ENSMUSG00000031530,Dusp4
ENSMUST00000013220.7,Amotl1-201,ENSMUSG00000013076,Amotl1
ENSMUST00000066283.11,Lif-202,ENSMUSG00000034394,Lif
ENSMUST00000111178.1,Efr3b-201,ENSMUSG00000020658,Efr3b
ENSMUST00000207505.1,Gm19410-201,ENSMUSG00000109372,Gm19410
ENSMUST00000223158.1,Gm36235-201,ENSMUSG00000113930,Gm36235
ENSMUST00000234013.1,Gm49974-201,ENSMUSG00000117588,
ENSMUST00000212806.1,Mt2-202,ENSMUSG00000031762,Mt2
ENSMUST00000103231.4,Nppb-201,ENSMUSG00000029019,Nppb
ENSMUST00000181030.2,Gm4890-201,ENSMUSG00000097174,Gm4890
ENSMUST00000075162.4,Klk1-201,ENSMUSG00000063903,Klk1
ENSMUST00000181376.2,5033403F01Rik-201,ENSMUSG00000096932,5033403F01Rik
ENSMUST00000195892.1,Gm9484-201,ENSMUSG00000105006,Gm9484
ENSMUST00000165311.2,Cnnm1-201,ENSMUSG00000025189,Cnnm1
ENSMUST00000180533.7,4933433G15Rik-201,ENSMUSG00000097021,4933433G15Rik
ENSMUST00000199829.1,Gm43366-201,ENSMUSG00000104665,Gm43366
ENSMUST00000199080.1,Gm42503-201,ENSMUSG00000104708,Gm42503
ENSMUST00000094814.5,Cited4-201,ENSMUSG00000070803,Cited4
ENSMUST00000139927.1,Gm14321-202,ENSMUSG00000084797,Gm14321
ENSMUST00000141846.1,B230369F24Rik-201,ENSMUSG00000086350,B230369F24Rik
ENSMUST00000080859.7,H3c8-201,ENSMUSG00000099517,Hist1h3g
ENSMUST00000087714.5,H4c11-201,ENSMUSG00000067455,Hist1h4j
ENSMUST00000206188.1,Gm34121-201,ENSMUSG00000108659,Gm34121
ENSMUST00000098070.9,Zfp462-203,ENSMUSG00000060206,Zfp462
ENSMUST00000091742.5,H2ac12-201,ENSMUSG00000069302,Hist1h2ah
ENSMUST00000044828.13,Lgr6-201,ENSMUSG00000042793,Lgr6
ENSMUST00000032217.1,Lag3-201,ENSMUSG00000030124,Lag3
ENSMUST00000088294.11,Acrbp-202,ENSMUSG00000072770,Acrbp
ENSMUST00000123405.7,Marchf8-204,ENSMUSG00000025702,March8
ENSMUST00000050373.6,Tssk6-201,ENSMUSG00000047654,Tssk6
ENSMUST00000143208.1,Gm15893-201,ENSMUSG00000085246,Gm15893
ENSMUST00000219260.1,Sbno2-209,ENSMUSG00000035673,Sbno2
ENSMUST00000173680.1,Gm20481-201,ENSMUSG00000092609,Gm20481
ENSMUST00000191409.6,Gm7967-203,ENSMUSG00000100009,Gm7967
ENSMUST00000039229.7,Cdcp1-201,ENSMUSG00000035498,Cdcp1
ENSMUST00000041142.3,Muc1-201,ENSMUSG00000042784,Muc1
ENSMUST00000210665.1,Gm45640-201,ENSMUSG00000109812,Gm45640
ENSMUST00000209682.1,Gm13522-202,ENSMUSG00000086447,Gm13522
ENSMUST00000026318.14,Sat1-201,ENSMUSG00000025283,Sat1
ENSMUST00000105572.2,Perm1-201,ENSMUSG00000078486,Perm1
ENSMUST00000223088.1,Gm8075-202,ENSMUSG00000113321,Gm8075
ENSMUST00000145585.1,4930551O13Rik-201,ENSMUSG00000086430,4930551O13Rik
ENSMUST00000098580.5,Mttp-202,ENSMUSG00000028158,Mttp
ENSMUST00000185627.1,Gm28322-201,ENSMUSG00000100671,Gm28322
ENSMUST00000098180.9,Trim6-201,ENSMUSG00000072244,Trim6
ENSMUST00000194925.1,Gm37607-201,ENSMUSG00000103839,Gm37607
ENSMUST00000026406.13,Rdh5-201,ENSMUSG00000025350,Rdh5
ENSMUST00000206598.1,Slc3a2-207,ENSMUSG00000010095,Slc3a2
ENSMUST00000236682.1,Gm36043-201,ENSMUSG00000117964,
ENSMUST00000030724.8,Sesn2-201,ENSMUSG00000028893,Sesn2
ENSMUST00000182352.1,Gm27011-201,ENSMUSG00000098184,Gm27011
ENSMUST00000055549.3,B3gnt2-201,ENSMUSG00000051650,B3gnt2
ENSMUST00000044462.3,Tcam1-201,ENSMUSG00000020712,Tcam1
ENSMUST00000057793.10,Adnp-201,ENSMUSG00000051149,Adnp
ENSMUST00000108262.9,Samd7-201,ENSMUSG00000051860,Samd7
ENSMUST00000221438.1,Gm49654-201,ENSMUSG00000113184,AC125351.1
ENSMUST00000048103.8,Bpifa2-201,ENSMUSG00000042459,Bpifa2
ENSMUST00000133243.4,Gm15411-201,ENSMUSG00000085971,Gm15411
ENSMUST00000077196.5,Krt80-201,ENSMUSG00000037185,Krt80
ENSMUST00000007245.7,Vwa7-201,ENSMUSG00000007030,Vwa7
ENSMUST00000209071.1,Gm29683-203,ENSMUSG00000109097,Gm29683
ENSMUST00000181657.8,Pvt1-203,ENSMUSG00000097039,Pvt1
ENSMUST00000181337.1,Gm6410-201,ENSMUSG00000097308,Gm6410
ENSMUST00000058960.13,Ccdc63-201,ENSMUSG00000043036,Ccdc63
ENSMUST00000069614.6,Dcdc2a-202,ENSMUSG00000035910,Dcdc2a
ENSMUST00000146154.1,1700123M08Rik-202,ENSMUSG00000085614,1700123M08Rik
ENSMUST00000173689.7,Jmjd1c-206,ENSMUSG00000037876,Jmjd1c
ENSMUST00000227835.1,Gm10791-201,ENSMUSG00000115518,CT010505.3
ENSMUST00000021796.8,Edn1-201,ENSMUSG00000021367,Edn1
ENSMUST00000217281.1,Olfr1420-203,ENSMUSG00000060878,Olfr1420
ENSMUST00000203249.2,1810059H22Rik-201,ENSMUSG00000108207,1810059H22Rik
ENSMUST00000143813.1,0610009L18Rik-201,ENSMUSG00000043644,0610009L18Rik
ENSMUST00000231422.1,A930006K02Rik-202,ENSMUSG00000084866,A930006K02Rik
ENSMUST00000077517.8,Tmem236-201,ENSMUSG00000061531,Tmem236
ENSMUST00000208854.1,Spef2-206,ENSMUSG00000072663,Spef2
ENSMUST00000144236.8,Mcfd2-204,ENSMUSG00000024150,Mcfd2
ENSMUST00000054351.5,Ndnf-201,ENSMUSG00000049001,Ndnf
ENSMUST00000087328.3,Hspa1a-201,ENSMUSG00000091971,Hspa1a
ENSMUST00000015394.9,Mmp13-201,ENSMUSG00000050578,Mmp13
ENSMUST00000186444.1,2810414N06Rik-201,ENSMUSG00000100594,2810414N06Rik
ENSMUST00000006614.2,Epha2-201,ENSMUSG00000006445,Epha2
ENSMUST00000111442.2,Ccr5-202,ENSMUSG00000079227,Ccr5
ENSMUST00000225889.1,Gm47794-201,ENSMUSG00000114907,Gm47794
ENSMUST00000005218.14,Cd44-201,ENSMUSG00000005087,Cd44
ENSMUST00000185221.6,2310034O05Rik-201,ENSMUSG00000100157,2310034O05Rik
ENSMUST00000234276.1,Gm36199-206,ENSMUSG00000117427,
ENSMUST00000231805.1,Gm46560-201,ENSMUSG00000116762,
ENSMUST00000005620.9,Dnajb1-201,ENSMUSG00000005483,Dnajb1
ENSMUST00000050758.4,Flg-201,ENSMUSG00000102439,Flg
ENSMUST00000038562.8,Spsb1-201,ENSMUSG00000039911,Spsb1
ENSMUST00000058918.4,Gm7461-201,ENSMUSG00000048484,Gm7461
ENSMUST00000180518.1,Gm2093-201,ENSMUSG00000097662,Gm2093
ENSMUST00000035278.6,Marchf3-201,ENSMUSG00000032656,March3
ENSMUST00000102979.1,H4c18-201,ENSMUSG00000069305,Hist1h4n
ENSMUST00000127150.8,Zeb2os-201,ENSMUSG00000052248,Zeb2os
ENSMUST00000082235.4,Mep1b-201,ENSMUSG00000024313,Mep1b
ENSMUST00000026999.9,Smad7-201,ENSMUSG00000025880,Smad7
ENSMUST00000172979.3,H2-Q5-202,ENSMUSG00000055413,H2-Q5
ENSMUST00000044532.10,Dock3-201,ENSMUSG00000039716,Dock3
ENSMUST00000161395.1,Gm15947-201,ENSMUSG00000089697,Gm15947
ENSMUST00000159739.7,Ciart-202,ENSMUSG00000038550,Ciart
ENSMUST00000090127.6,Gbp5-201,ENSMUSG00000105504,Gbp5
ENSMUST00000198374.1,Gm42929-201,ENSMUSG00000106022,Gm42929
ENSMUST00000237685.1,Gm26644-202,ENSMUSG00000097683,Gm26644
ENSMUST00000071199.8,Arl9-201,ENSMUSG00000063820,Arl9
ENSMUST00000110621.2,Lrr1-201,ENSMUSG00000034883,Lrr1
ENSMUST00000231716.1,Cd80-202,ENSMUSG00000075122,Cd80
