1.GeneID,transcript_name,gene_ids,genes_names
ENSMUST00000026703.5,Bach1-201,ENSMUSG00000025612,Bach1
ENSMUST00000028926.12,Napb-201,ENSMUSG00000027438,Napb
ENSMUST00000105502.7,Foxo3-203,ENSMUSG00000048756,Foxo3
ENSMUST00000029516.2,Tchhl1-201,ENSMUSG00000027908,Tchhl1
ENSMUST00000121927.7,Nrip1-202,ENSMUSG00000048490,Nrip1
ENSMUST00000177314.1,Gm20652-201,ENSMUSG00000093390,Gm20652
ENSMUST00000046835.13,Fnip1-201,ENSMUSG00000035992,Fnip1
ENSMUST00000164773.1,Phlda1-201,ENSMUSG00000020205,Phlda1
ENSMUST00000028780.3,Chac1-201,ENSMUSG00000027313,Chac1
ENSMUST00000000080.7,Klf6-201,ENSMUSG00000000078,Klf6
ENSMUST00000212145.1,Gm32856-201,ENSMUSG00000110605,Gm32856
ENSMUST00000059155.10,Insig1-201,ENSMUSG00000045294,Insig1
ENSMUST00000069620.9,Per2-201,ENSMUSG00000055866,Per2
ENSMUST00000152782.7,Heg1-205,ENSMUSG00000075254,Heg1
ENSMUST00000181554.1,Gm26901-201,ENSMUSG00000097797,Gm26901
ENSMUST00000163080.2,1110002E22Rik-201,ENSMUSG00000090066,1110002E22Rik
ENSMUST00000040312.6,Trib3-201,ENSMUSG00000032715,Trib3
ENSMUST00000180638.2,3110045C21Rik-201,ENSMUSG00000097503,3110045C21Rik
ENSMUST00000070642.3,Cebpb-201,ENSMUSG00000056501,Cebpb
ENSMUST00000003451.10,Rnd1-201,ENSMUSG00000054855,Rnd1
ENSMUST00000106454.7,H3f3b-202,ENSMUSG00000016559,H3f3b
ENSMUST00000038816.12,Cxcl10-201,ENSMUSG00000034855,Cxcl10
ENSMUST00000237651.1,Zfand5-205,ENSMUSG00000024750,Zfand5
ENSMUST00000137478.3,0610040F04Rik-201,ENSMUSG00000087341,0610040F04Rik
ENSMUST00000039480.6,Zswim4-201,ENSMUSG00000035671,Zswim4
ENSMUST00000054780.9,Zfp959-201,ENSMUSG00000003198,Zfp959
ENSMUST00000022176.14,Hmgcr-201,ENSMUSG00000021670,Hmgcr
ENSMUST00000038377.8,Btg1-201,ENSMUSG00000036478,Btg1
ENSMUST00000105275.8,Osbpl8-202,ENSMUSG00000020189,Osbpl8
ENSMUST00000146250.1,Gm13068-202,ENSMUSG00000085403,Gm13068
ENSMUST00000023570.13,Btg3-201,ENSMUSG00000022863,Btg3
ENSMUST00000020970.9,Rsad2-201,ENSMUSG00000020641,Rsad2
ENSMUST00000034761.14,Ice2-201,ENSMUSG00000032235,Ice2
ENSMUST00000150649.8,Ifi213-202,ENSMUSG00000073491,Ifi213
ENSMUST00000128944.7,Gramd2-203,ENSMUSG00000074259,Gramd2
ENSMUST00000203437.1,Gm43890-201,ENSMUSG00000108053,Gm43890
ENSMUST00000224359.1,H2bc9-201,ENSMUSG00000114456,Hist1h2bh
ENSMUST00000043098.8,Gadd45a-201,ENSMUSG00000036390,Gadd45a
ENSMUST00000024894.1,Cyp1b1-201,ENSMUSG00000024087,Cyp1b1
ENSMUST00000234295.1,Gm20939-203,ENSMUSG00000095193,Gm20939
ENSMUST00000227861.1,Gm10389-201,ENSMUSG00000115667,AC158921.1
ENSMUST00000063089.11,Nsun3-201,ENSMUSG00000050312,Nsun3
ENSMUST00000027131.5,Slc39a10-201,ENSMUSG00000025986,Slc39a10
ENSMUST00000125369.7,Rgs3-207,ENSMUSG00000059810,Rgs3
ENSMUST00000228670.1,9330188P03Rik-206,ENSMUSG00000115149,AC112142.1
ENSMUST00000239480.1,Tnfsf15-202,ENSMUSG00000050395,Tnfsf15
ENSMUST00000133221.2,Trp53cor1-201,ENSMUSG00000085912,Trp53cor1
ENSMUST00000058104.7,Zfp719-201,ENSMUSG00000030469,Zfp719
ENSMUST00000133496.1,Maats1os-201,ENSMUSG00000087568,Maats1os
ENSMUST00000062672.6,Rpp38-201,ENSMUSG00000049950,Rpp38
ENSMUST00000165859.7,Nemp2-201,ENSMUSG00000043015,Nemp2
ENSMUST00000070368.7,Siah2-201,ENSMUSG00000036432,Siah2
ENSMUST00000023672.9,Rcan1-201,ENSMUSG00000022951,Rcan1
ENSMUST00000020323.6,Avpr1a-201,ENSMUSG00000020123,Avpr1a
ENSMUST00000021937.11,Zfp346-201,ENSMUSG00000021481,Zfp346
ENSMUST00000048162.9,Bsdc1-201,ENSMUSG00000040859,Bsdc1
ENSMUST00000120537.7,Bcl3-201,ENSMUSG00000053175,Bcl3
ENSMUST00000058796.6,Kdm4d-201,ENSMUSG00000053914,Kdm4d
ENSMUST00000046687.15,Spon1-201,ENSMUSG00000038156,Spon1
ENSMUST00000128342.1,Gm16576-201,ENSMUSG00000087543,Gm16576
ENSMUST00000020692.6,Btg2-201,ENSMUSG00000020423,Btg2
ENSMUST00000036350.2,Cdnf-201,ENSMUSG00000039496,Cdnf
ENSMUST00000131787.1,2410006H16Rik-201,ENSMUSG00000086841,2410006H16Rik
ENSMUST00000192147.1,Gm37691-201,ENSMUSG00000104348,Gm37691
ENSMUST00000044954.6,Slc30a1-201,ENSMUSG00000037434,Slc30a1
ENSMUST00000030643.2,Extl1-201,ENSMUSG00000028838,Extl1
ENSMUST00000032376.5,Lmcd1-201,ENSMUSG00000057604,Lmcd1
ENSMUST00000025236.8,Stard4-201,ENSMUSG00000024378,Stard4
ENSMUST00000087085.9,Nhs-202,ENSMUSG00000059493,Nhs
ENSMUST00000017821.11,Wsb1-201,ENSMUSG00000017677,Wsb1
ENSMUST00000165536.7,Klf3-201,ENSMUSG00000029178,Klf3
ENSMUST00000029268.6,1810062G17Rik-201,ENSMUSG00000027713,1810062G17Rik
ENSMUST00000140928.2,BC048644-201,ENSMUSG00000074052,BC048644
ENSMUST00000182161.1,Sowahc-201,ENSMUSG00000098188,Sowahc
ENSMUST00000171127.3,H2ac6-201,ENSMUSG00000069270,Hist1h2ac
ENSMUST00000016640.7,Cd274-201,ENSMUSG00000016496,Cd274
ENSMUST00000056781.4,Ccdc57-201,ENSMUSG00000048445,Ccdc57
ENSMUST00000238121.1,Gm29677-201,ENSMUSG00000117811,
ENSMUST00000093939.3,Fbxo47-201,ENSMUSG00000070336,Fbxo47
ENSMUST00000023151.5,Bcl6-201,ENSMUSG00000022508,Bcl6
ENSMUST00000000579.2,Sox9-201,ENSMUSG00000000567,Sox9
ENSMUST00000030025.9,Nr4a3-201,ENSMUSG00000028341,Nr4a3
ENSMUST00000188073.6,Prkag3-206,ENSMUSG00000006542,Prkag3
ENSMUST00000027941.13,Atf3-201,ENSMUSG00000026628,Atf3
ENSMUST00000050952.3,Stbd1-201,ENSMUSG00000047963,Stbd1
ENSMUST00000020922.7,Trib2-201,ENSMUSG00000020601,Trib2
ENSMUST00000229390.1,Gm49502-201,ENSMUSG00000116226,AC105358.1
ENSMUST00000030010.3,Abca1-201,ENSMUSG00000015243,Abca1
ENSMUST00000066091.13,Smad1-202,ENSMUSG00000031681,Smad1
ENSMUST00000220169.1,Gm38560-201,ENSMUSG00000112375,Gm38560
ENSMUST00000051839.8,Hepacam-201,ENSMUSG00000046240,Hepacam
ENSMUST00000107619.2,Klf4-201,ENSMUSG00000003032,Klf4
ENSMUST00000001415.8,Apbb3-201,ENSMUSG00000117679,
ENSMUST00000090246.4,Sgms2-201,ENSMUSG00000050931,Sgms2
ENSMUST00000190378.1,Prmt6-203,ENSMUSG00000049300,Prmt6
ENSMUST00000185046.1,0610031O16Rik-203,ENSMUSG00000099146,0610031O16Rik
ENSMUST00000107095.2,Gm15441-202,ENSMUSG00000074398,Gm15441
ENSMUST00000053760.11,Utp14b-201,ENSMUSG00000079470,Utp14b
ENSMUST00000198018.1,0,0,0
ENSMUST00000050897.6,Spice1-201,ENSMUSG00000043065,Spice1
ENSMUST00000230474.1,Tns2-209,ENSMUSG00000037003,Tns2
ENSMUST00000088311.5,Gbx1-201,ENSMUSG00000067724,Gbx1
ENSMUST00000116436.8,Ahr-202,ENSMUSG00000019256,Ahr
ENSMUST00000227263.1,4930474H20Rik-201,ENSMUSG00000115001,AC154841.1
ENSMUST00000120276.8,Brd4-202,ENSMUSG00000024002,Brd4
ENSMUST00000105297.1,Nr1h4-203,ENSMUSG00000047638,Nr1h4
ENSMUST00000102774.10,Sqstm1-202,ENSMUSG00000015837,Sqstm1
ENSMUST00000002989.10,Arrdc2-201,ENSMUSG00000002910,Arrdc2
ENSMUST00000183663.7,Il6st-203,ENSMUSG00000021756,Il6st
ENSMUST00000114471.2,Cblb-201,ENSMUSG00000022637,Cblb
ENSMUST00000023806.13,Soat2-201,ENSMUSG00000023045,Soat2
ENSMUST00000116172.1,Gm11175-201,ENSMUSG00000080058,Gm11175
ENSMUST00000079545.5,St6galnac2-201,ENSMUSG00000057286,St6galnac2
ENSMUST00000028103.12,Lypd6b-201,ENSMUSG00000026765,Lypd6b
ENSMUST00000170046.7,Mtbp-205,ENSMUSG00000022369,Mtbp
ENSMUST00000000193.5,Ccl2-201,ENSMUSG00000035385,Ccl2
ENSMUST00000186531.1,2810013P06Rik-201,ENSMUSG00000099881,2810013P06Rik
ENSMUST00000223113.1,Gm48140-201,ENSMUSG00000114049,Gm48140
ENSMUST00000023612.16,Ets2-201,ENSMUSG00000022895,Ets2
ENSMUST00000050306.7,1700056E22Rik-201,ENSMUSG00000044854,1700056E22Rik
ENSMUST00000056558.9,Zfp366-201,ENSMUSG00000050919,Zfp366
ENSMUST00000194318.1,Gm38246-201,ENSMUSG00000103464,Gm38246
ENSMUST00000229584.1,Gm35853-202,ENSMUSG00000116114,AC163018.1
ENSMUST00000110294.1,Mideas-202,ENSMUSG00000042507,Elmsan1
ENSMUST00000079642.7,Zfp119a-201,ENSMUSG00000057835,Zfp119a
ENSMUST00000042021.4,Tspyl5-201,ENSMUSG00000038984,Tspyl5
ENSMUST00000199417.1,Gm42664-201,ENSMUSG00000106099,Gm42664
ENSMUST00000042710.7,Smim3-201,ENSMUSG00000038059,Smim3
ENSMUST00000023610.14,Adamts1-201,ENSMUSG00000022893,Adamts1
ENSMUST00000095267.5,Jund-201,ENSMUSG00000071076,Jund
ENSMUST00000015346.11,Cnksr3-201,ENSMUSG00000015202,Magi1
ENSMUST00000022048.5,Slc6a19-201,ENSMUSG00000021565,Slc6a19
ENSMUST00000019997.10,Tnfaip3-201,ENSMUSG00000019850,Tnfaip3
ENSMUST00000220211.1,Gm36283-203,ENSMUSG00000112532,Gm36283
ENSMUST00000096038.3,3425401B19Rik-201,ENSMUSG00000071540,3425401B19Rik
ENSMUST00000195714.1,Gm37305-201,ENSMUSG00000103041,Gm37305
ENSMUST00000102649.3,Trit1-201,ENSMUSG00000028653,Trit1
