transcript_ids,transcript_names,gene_ids,genes_names
ENSMUST00000104097.1,0,0,0
ENSMUST00000122759.1,0,0,0
ENSMUST00000157366.1,0,0,0
ENSMUST00000157984.1,0,0,0
