transcript_ids,transcript_names,gene_ids,genes_names
ENSMUST00000112641.7,Steap3-203,ENSMUSG00000026389,Steap3
ENSMUST00000082844.1,Snord59a-201,ENSMUSG00000064778,Snord59a
ENSMUST00000202292.1,Gm42572-201,ENSMUSG00000107171,Gm42572
ENSMUST00000029553.15,Ubap2l-201,ENSMUSG00000042520,Ubap2l
ENSMUST00000187366.1,Gm29093-201,ENSMUSG00000100201,Gm29093
ENSMUST00000104546.1,Snord83b-201,ENSMUSG00000077734,Snord83b
ENSMUST00000174989.1,Snora24-201,ENSMUSG00000092730,Snora24
ENSMUST00000082408.1,mt-Atp6-201,ENSMUSG00000064357,mt-Atp6
ENSMUST00000082405.1,mt-Co2-201,ENSMUSG00000064354,mt-Co2
ENSMUST00000110947.1,Arhgap11a-202,ENSMUSG00000041219,Arhgap11a
ENSMUST00000115224.7,Strip2-202,ENSMUSG00000039629,Strip2
ENSMUST00000156585.8,Ldb1-207,ENSMUSG00000025223,Ldb1
ENSMUST00000034869.10,Isl2-201,ENSMUSG00000032318,Isl2
ENSMUST00000209267.1,Gm45286-201,ENSMUSG00000109787,Gm45286
ENSMUST00000176200.7,1190007I07Rik-202,ENSMUSG00000063320,1190007I07Rik
ENSMUST00000048229.8,Myrfl-201,ENSMUSG00000034057,Myrfl
ENSMUST00000049305.13,Espn-202,ENSMUSG00000028943,Espn
ENSMUST00000003203.13,Cdk12-201,ENSMUSG00000003119,Cdk12
ENSMUST00000082417.1,mt-Tl2-201,ENSMUSG00000064366,mt-Tl2
ENSMUST00000236455.1,Sdhaf2-207,ENSMUSG00000024668,Sdhaf2
ENSMUST00000177545.1,Gm20605-201,ENSMUSG00000029720,Gm20605
ENSMUST00000082391.1,mt-Tl1-201,ENSMUSG00000064340,mt-Tl1
ENSMUST00000175614.1,Snora26-201,ENSMUSG00000093355,Snora26
ENSMUST00000076258.12,Ppm1m-201,ENSMUSG00000020253,Ppm1m
ENSMUST00000020507.7,Fgf18-201,ENSMUSG00000057967,Fgf18
ENSMUST00000137343.8,Snhg12-204,ENSMUSG00000086290,Snhg12
ENSMUST00000213610.1,Fignl2-202,ENSMUSG00000095440,Fignl2
ENSMUST00000157310.1,Snora81-201,ENSMUSG00000087935,Snora81
ENSMUST00000194364.1,Gm38192-201,ENSMUSG00000102305,Gm38192
ENSMUST00000169803.4,Rimbp3-201,ENSMUSG00000071636,Rimbp3
ENSMUST00000177768.2,Fam177a-201,ENSMUSG00000095595,Fam177a
ENSMUST00000002100.7,Tmem25-201,ENSMUSG00000002032,Tmem25
ENSMUST00000232751.1,Srpk1-208,ENSMUSG00000004865,Srpk1
ENSMUST00000220671.1,Gm49602-201,ENSMUSG00000113831,Gm49602
ENSMUST00000214560.1,AC139579.1-201,ENSMUSG00000111339,AC139579.1
ENSMUST00000122424.7,Fam20b-202,ENSMUSG00000033557,Fam20b
ENSMUST00000097998.8,Fam53b-202,ENSMUSG00000030956,Fam53b
ENSMUST00000055372.13,Virma-201,ENSMUSG00000040720,Virma
ENSMUST00000227258.1,Gm49125-201,ENSMUSG00000115148,Gm49125
ENSMUST00000118410.7,Impa1-202,ENSMUSG00000027531,Impa1
ENSMUST00000096369.9,Klhl15-201,ENSMUSG00000043929,Klhl15
ENSMUST00000230676.1,Ndufa6-207,ENSMUSG00000022450,Ndufa6
ENSMUST00000140080.1,Gm12945-201,ENSMUSG00000087394,Gm12945
ENSMUST00000014891.4,Ankrd53-201,ENSMUSG00000014747,Ankrd53
ENSMUST00000107586.2,Mllt6-202,ENSMUSG00000038437,Mllt6
ENSMUST00000083294.1,Gm25789-201,ENSMUSG00000065228,Gm25789
ENSMUST00000209772.1,Tlr3-205,ENSMUSG00000031639,Tlr3
ENSMUST00000108425.7,Crk-203,ENSMUSG00000017776,Crk
ENSMUST00000032944.8,Gdpd3-201,ENSMUSG00000030703,Gdpd3
ENSMUST00000153820.7,Pml-211,ENSMUSG00000036986,Pml
ENSMUST00000202576.3,Nrbp1-207,ENSMUSG00000029148,Nrbp1
ENSMUST00000112674.7,Zbtb14-202,ENSMUSG00000049672,Zbtb14
ENSMUST00000208287.1,Gm44763-201,ENSMUSG00000109517,Gm44763
ENSMUST00000219013.1,Gm47572-201,ENSMUSG00000112922,Gm47572
ENSMUST00000178584.1,Gm21817-201,ENSMUSG00000095651,Gm21817
ENSMUST00000100928.10,Rabep1-203,ENSMUSG00000020817,Rabep1
ENSMUST00000113631.1,Rtl5-201,ENSMUSG00000049191,Rtl5
ENSMUST00000189316.6,Ralgps2-209,ENSMUSG00000026594,Ralgps2
ENSMUST00000109349.8,Dbndd2-203,ENSMUSG00000017734,Dbndd2
ENSMUST00000191906.5,Mon1a-202,ENSMUSG00000032583,Mon1a
ENSMUST00000039620.6,Cbr3-201,ENSMUSG00000022947,Cbr3
ENSMUST00000004990.13,Mapk14-201,ENSMUSG00000053436,Mapk14
ENSMUST00000113907.1,Dctn1-202,ENSMUSG00000031865,Dctn1
ENSMUST00000198092.1,Mir142-201,ENSMUSG00000105196,Mir142
ENSMUST00000184697.1,Mir7079-201,ENSMUSG00000098550,Mir7079
ENSMUST00000110985.1,Tsc22d4-205,ENSMUSG00000029723,Tsc22d4
ENSMUST00000212627.1,Gm45892-201,ENSMUSG00000110674,Gm45892
ENSMUST00000136009.2,Ptpa-210,ENSMUSG00000039515,Ptpa
ENSMUST00000221464.1,Trim27-205,ENSMUSG00000021326,Trim27
ENSMUST00000104549.1,Snord72-201,ENSMUSG00000077737,Snord72
ENSMUST00000201618.1,Gm42986-201,ENSMUSG00000107118,Gm42986
ENSMUST00000119437.7,Tmed5-205,ENSMUSG00000063406,Tmed5
ENSMUST00000104516.1,Snord89-201,ENSMUSG00000077704,Snord89
ENSMUST00000173304.1,Gm20394-201,ENSMUSG00000092509,Gm20394
ENSMUST00000083328.1,Gm23451-201,ENSMUSG00000065262,Gm23451
ENSMUST00000183443.1,Mir6904-201,ENSMUSG00000098926,Mir6904
ENSMUST00000149261.7,Prdx5-203,ENSMUSG00000024953,Prdx5
ENSMUST00000095495.2,Armc10-202,ENSMUSG00000038525,Armc10
ENSMUST00000132861.2,1700048M11Rik-201,ENSMUSG00000085637,1700048M11Rik
ENSMUST00000110310.8,Dusp22-203,ENSMUSG00000069255,Dusp22
ENSMUST00000030690.11,Cdca8-201,ENSMUSG00000028873,Cdca8
ENSMUST00000201583.1,Tbc1d24-210,ENSMUSG00000036473,Tbc1d24
ENSMUST00000198041.1,Gm42463-201,ENSMUSG00000106032,Gm42463
ENSMUST00000070587.3,5730596B20Rik-201,ENSMUSG00000056468,5730596B20Rik
ENSMUST00000183834.1,Gm27209-201,ENSMUSG00000098620,Gm27209
ENSMUST00000063710.12,Zfp217-201,ENSMUSG00000052056,Zfp217
ENSMUST00000129164.8,C030005K06Rik-201,ENSMUSG00000086600,C030005K06Rik
ENSMUST00000215131.1,E030022I16Rik-201,ENSMUSG00000111264,E030022I16Rik
ENSMUST00000205660.1,Gm9967-202,ENSMUSG00000055323,Gm9967
ENSMUST00000062831.15,Ercc2-201,ENSMUSG00000030400,Ercc2
ENSMUST00000110987.8,Slc12a6-203,ENSMUSG00000027130,Slc12a6
ENSMUST00000102924.2,Trim14-202,ENSMUSG00000039853,Trim14
ENSMUST00000233003.1,Gm4356-201,ENSMUSG00000117145,Gm4356
ENSMUST00000206666.1,Gm44816-201,ENSMUSG00000108618,Gm44816
ENSMUST00000180290.1,Phospho2-206,ENSMUSG00000027088,Phospho2
ENSMUST00000232091.1,Gm31641-201,ENSMUSG00000116720,Gm31641
ENSMUST00000221560.1,Ero1b-203,ENSMUSG00000057069,Ero1b
ENSMUST00000093556.1,Snora33-201,ENSMUSG00000070063,Snora33
ENSMUST00000120674.7,Riox2-203,ENSMUSG00000022724,Riox2
ENSMUST00000195131.1,Gm37968-201,ENSMUSG00000102570,Gm37968
ENSMUST00000201412.1,Gm43747-201,ENSMUSG00000107165,Gm43747
ENSMUST00000206304.1,Mypopos-203,ENSMUSG00000086533,Mypopos
ENSMUST00000019605.3,Plscr3-201,ENSMUSG00000019461,Plscr3
ENSMUST00000128432.2,Ikzf5-203,ENSMUSG00000040167,Ikzf5
ENSMUST00000101249.8,Hnrnpab-202,ENSMUSG00000020358,Hnrnpab
ENSMUST00000048371.14,Tsc22d1-202,ENSMUSG00000022010,Tsc22d1
ENSMUST00000195380.1,Gm37860-201,ENSMUSG00000103763,Gm37860
ENSMUST00000236769.1,Naa40-204,ENSMUSG00000024764,Naa40
ENSMUST00000217895.1,Kif5a-202,ENSMUSG00000074657,Kif5a
ENSMUST00000183342.1,Mir6992-201,ENSMUSG00000098844,Mir6992
ENSMUST00000184295.1,Mir6385-201,ENSMUSG00000098886,Mir6385
ENSMUST00000145969.7,Glrx2-206,ENSMUSG00000018196,Glrx2
ENSMUST00000175437.1,Snord87-201,ENSMUSG00000093178,Snord87
ENSMUST00000224044.1,5430414B19Rik-201,ENSMUSG00000114419,5430414B19Rik
ENSMUST00000150975.7,Pabpn1-207,ENSMUSG00000022194,Pabpn1
ENSMUST00000235776.1,B4gat1-202,ENSMUSG00000047379,B4gat1
ENSMUST00000178493.7,Dgkeos-204,ENSMUSG00000063109,Dgkeos
ENSMUST00000176104.7,Rell2-210,ENSMUSG00000044024,Rell2
ENSMUST00000197836.1,Gm43466-201,ENSMUSG00000105824,Gm43466
ENSMUST00000114563.7,Zfp467-207,ENSMUSG00000068551,Zfp467
ENSMUST00000232344.1,Ydjc-208,ENSMUSG00000041774,Ydjc
ENSMUST00000173739.7,Apoe-205,ENSMUSG00000002985,Apoe
ENSMUST00000192162.1,Gm37622-201,ENSMUSG00000103670,Gm37622
ENSMUST00000031122.8,Gabrb1-201,ENSMUSG00000029212,Gabrb1
ENSMUST00000102602.7,Trappc1-203,ENSMUSG00000049299,Trappc1
ENSMUST00000123146.7,2510002D24Rik-202,ENSMUSG00000071632,2510002D24Rik
ENSMUST00000164096.1,Snrpe-201,ENSMUSG00000090553,Snrpe
ENSMUST00000179823.1,AC118698.1-201,ENSMUSG00000119442,AC118698.1
ENSMUST00000108549.1,Pfn1-202,ENSMUSG00000018293,Pfn1
ENSMUST00000174918.1,Mir3100-201,ENSMUSG00000092659,Mir3100
ENSMUST00000239116.1,Gm52965-201,ENSMUSG00000118550,Gm52965
ENSMUST00000083715.1,Snora74a-201,ENSMUSG00000065649,Snora74a
ENSMUST00000193066.1,Gm38020-201,ENSMUSG00000103697,Gm38020
ENSMUST00000194759.5,Lrba-204,ENSMUSG00000028080,Lrba
ENSMUST00000032177.9,Slc41a3-201,ENSMUSG00000030089,Slc41a3
ENSMUST00000193169.1,Gm38228-201,ENSMUSG00000103945,Gm38228
ENSMUST00000222913.1,9430031K09Rik-201,ENSMUSG00000113341,9430031K09Rik
ENSMUST00000193369.1,Gm37152-201,ENSMUSG00000102927,Gm37152
ENSMUST00000231733.1,Nit2-203,ENSMUSG00000022751,Nit2
ENSMUST00000057979.5,Ppara-201,ENSMUSG00000022383,Ppara
ENSMUST00000230740.1,Cela1-208,ENSMUSG00000023031,Cela1
ENSMUST00000105653.7,Espn-207,ENSMUSG00000028943,Espn
ENSMUST00000210652.1,Helt-202,ENSMUSG00000047171,Helt
ENSMUST00000082453.1,Snora73a-201,ENSMUSG00000064387,Snora73a
ENSMUST00000039998.10,Fbxo27-201,ENSMUSG00000037463,Fbxo27
ENSMUST00000235359.1,Gm42067-203,ENSMUSG00000110156,Gm42067
ENSMUST00000044392.10,Kyat3-201,ENSMUSG00000040213,Kyat3
ENSMUST00000051929.12,Bmi1-202,ENSMUSG00000026739,Bmi1
ENSMUST00000190917.1,Gm28874-201,ENSMUSG00000100813,Gm28874
ENSMUST00000234467.1,Gm49980-201,ENSMUSG00000117465,Gm49980
ENSMUST00000114600.1,Slc35a5-202,ENSMUSG00000022664,Slc35a5
ENSMUST00000182554.8,Ube2w-206,ENSMUSG00000025939,Ube2w
ENSMUST00000221365.1,Gm47258-201,ENSMUSG00000114016,Gm47258
ENSMUST00000211328.1,Gm45244-201,ENSMUSG00000109807,Gm45244
ENSMUST00000113575.8,Tmem198-202,ENSMUSG00000051703,Tmem198
ENSMUST00000235544.1,Gm50232-201,ENSMUSG00000117743,Gm50232
ENSMUST00000234735.1,Cabyr-208,ENSMUSG00000024430,Cabyr
ENSMUST00000234156.1,Gm50013-201,ENSMUSG00000117596,Gm50013
ENSMUST00000130454.7,Tead4-203,ENSMUSG00000030353,Tead4
ENSMUST00000232454.1,B4galt4-209,ENSMUSG00000022793,B4galt4
ENSMUST00000195553.1,Gm37132-201,ENSMUSG00000103443,Gm37132
ENSMUST00000196316.1,Ccna2-205,ENSMUSG00000027715,Ccna2
ENSMUST00000112677.9,Brdt-202,ENSMUSG00000029279,Brdt
ENSMUST00000203673.2,C2cd5-207,ENSMUSG00000030279,C2cd5
ENSMUST00000061590.5,Intu-201,ENSMUSG00000060798,Intu
ENSMUST00000058274.13,Pou6f1-201,ENSMUSG00000009739,Pou6f1
ENSMUST00000084115.3,Plekhg5-201,ENSMUSG00000039713,Plekhg5
ENSMUST00000133397.3,Bcl2l2-203,ENSMUSG00000089682,Bcl2l2
